player,team,fgp3,fgp3_nba_range,fga3,fga3_nba_range
Nick Emery,BYU,0.37288135593220338983,0.37113402061855670103,354,194
Bronson Koenig,Wisconsin,0.39111111111111111111,0.37102473498233215548,675,283
Darrun Hilliard,Villanova,0.40053763440860215054,0.37086092715231788079,372,151
Devon Hall,Virginia,0.38907849829351535836,0.37062937062937062937,293,143
Scoochie Smith,Dayton,0.37650602409638554217,0.37037037037037037037,332,189
Tyler Lydon,Syracuse,0.40163934426229508197,0.37037037037037037037,244,108
Brandon Parrish,TCU,0.35860058309037900875,0.37037037037037037037,343,135
Tim Quarterman,LSU,0.32404181184668989547,0.37007874015748031496,287,127
Tyler Smithpeters,Southern Illinois,0.38248847926267281106,0.37000000000000000000,217,100
Aaron Falzon,Northwestern,0.33613445378151260504,0.36974789915966386555,238,119
Bashir Ahmed,St. John's,0.35114503816793893130,0.36923076923076923077,262,130
Admiral Schofield,Tennessee,0.35483870967741935484,0.36923076923076923077,279,130
Federico Mussini,St. John's,0.35234899328859060403,0.36912751677852348993,298,149
Austin Chatman,Creighton,0.34389140271493212670,0.36893203883495145631,221,103
Spike Albrecht,Purdue,0.35675675675675675676,0.36893203883495145631,185,103
Graham Woodward,Drake,0.38380281690140845070,0.36885245901639344262,284,122
Bryant Crawford,Wake Forest,0.35348837209302325581,0.36813186813186813187,430,182
Dakarai Tucker,Utah,0.39384615384615384615,0.36800000000000000000,325,125
Isaiah Cousins,Oklahoma,0.42337662337662337662,0.36734693877551020408,385,147
Kam Williams,Ohio State,0.40201005025125628141,0.36708860759493670886,398,158
Javan Felix,Texas,0.37265415549597855228,0.36708860759493670886,373,158
Darrell Davis,Dayton,0.38133333333333333333,0.36702127659574468085,375,188
Kerwin Roach II,Texas,0.33469387755102040816,0.36697247706422018349,245,109
Isaac Hamilton,UCLA,0.37148594377510040161,0.36633663366336633663,498,202
Justin James,Wyoming,0.38164251207729468599,0.36607142857142857143,207,112
Gian Clavell,Colorado State,0.36918604651162790698,0.36571428571428571429,344,175
Toby Hegner,Creighton,0.37017994858611825193,0.36559139784946236559,389,186
Wayne Selden Jr.,Kansas,0.36651583710407239819,0.36500000000000000000,442,200
Sam Hauser,Marquette,0.47474747474747474747,0.36496350364963503650,297,137
Myles Mack,Rutgers,0.34808259587020648968,0.36496350364963503650,339,137
Donovan Mitchell,Louisville,0.32996632996632996633,0.36486486486486486486,297,148
Silas Melson,Gonzaga,0.36496350364963503650,0.36486486486486486486,411,222
Bryce Brown,Auburn,0.38204225352112676056,0.36434108527131782946,568,258
Melvin Johnson,Virginia Commonwealth,0.36770428015564202335,0.36405529953917050691,514,217
Jared Terrell,Rhode Island,0.35967302452316076294,0.36309523809523809524,367,168
Ben Richardson,Loyola (IL),0.42500000000000000000,0.36274509803921568627,240,102
Christian James,Oklahoma,0.36704119850187265918,0.36274509803921568627,267,102
Shep Garner,Penn State,0.36962365591397849462,0.36228287841191066998,744,403
PJ Savoy,Florida State,0.36000000000000000000,0.36170212765957446809,200,141
Wes Clark,Buffalo,0.36462093862815884477,0.36134453781512605042,277,119
Marc Loving,Ohio State,0.37061403508771929825,0.36125654450261780105,456,191
